index,country-region,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
1,South America,541,-177,-330,-433,-502,-953,-585,-561,-694,-  1 095,-  1 271,-  1 042,-570
2,Argentina,310,140,122,130,290,-230,140,160,30,-80,-90,-85,30
3,Bolivia,-32,-30,-34,-37,-43,-60,-87,-107,-91,-83,-90,-84,-62
4,Brazil,330,0,0,0,0,0,0,0,0,0,0,0,16
5,Chile,-58,-63,-45,-41,-63,-77,-64,-21,14,23,37,59,81
6,Colombia,-163,-213,-254,-281,-290,-287,-274,-254,-224,-190,-159,-143,-145
7,Ecuador,-2,-8,-9,-6,-5,-7,-14,-17,-19,-70,-120,-45,-38
8,French Guiana,0,1,3,4,3,5,11,17,4,7,18,3,6
9,Guyana,2,-1,-15,-43,-54,-52,-97,-103,-58,-80,-64,-55,-27
10,Paraguay,-79,-75,-71,-66,-59,-46,-21,-17,-31,-44,-47,-117,-87
11,Peru,-17,-22,-30,-50,-88,-99,-118,-185,-294,-540,-635,-490,-240
12,Suriname,-3,-5,-11,-14,-57,-40,-32,-5,-5,-10,-9,-6,-5
13,Uruguay,10,20,-6,-34,-136,-60,-30,-30,-20,-26,-104,-50,-30
14,Venezuela,244,80,19,3,1,1,1,1,-1,-2,-8,-28,-69
